imageNr,layerNr,approx1,approx2,approx3,approx4,approx5,approx6,approx7,approx8
0,1,250836.0,270725.0,207167.0,233106.0,287107.0,360316.0,282340.0,282911.0
0,2,84629.0,90803.0,69747.0,78136.0,96965.0,120852.0,95680.0,95199.0
0,3,57750.0,62010.0,47209.0,53180.0,66227.0,82162.0,64819.0,64761.0
0,4,41352.0,45219.0,33677.0,37097.0,45928.0,56022.0,44314.0,44245.0
0,5,14836.0,13859.0,10720.0,9873.0,14570.0,14054.0,12448.0,12509.0
0,6,2446.0,3088.0,1303.0,2338.0,2169.0,2626.0,2082.0,1970.0
0,7,1517.0,1697.0,979.0,1515.0,1324.0,1797.0,1214.0,1208.0
0,8,1086.0,1483.0,553.0,891.0,529.0,1508.0,709.0,710.0
1,1,455671.0,251177.0,239479.0,295679.0,361176.0,267074.0,304104.0,304607.0
1,2,153528.0,85149.0,81061.0,99676.0,122150.0,90410.0,103188.0,103019.0
1,3,104070.0,57721.0,54795.0,67616.0,83158.0,61317.0,69999.0,70027.0
1,4,68967.0,43450.0,39689.0,48280.0,58236.0,44001.0,50099.0,50414.0
1,5,15573.0,12346.0,12831.0,13494.0,16535.0,12208.0,15342.0,15502.0
1,6,2953.0,2131.0,2242.0,2524.0,3276.0,2531.0,3486.0,3541.0
1,7,1331.0,754.0,798.0,777.0,1386.0,1022.0,1604.0,1635.0
1,8,936.0,790.0,1716.0,1183.0,2092.0,657.0,1211.0,1242.0
2,1,271313.0,224048.0,238083.0,99548.0,272132.0,114025.0,293764.0,294326.0
2,2,91284.0,73953.0,80219.0,33100.0,91686.0,38010.0,99358.0,98302.0
2,3,62256.0,50718.0,54693.0,22517.0,62708.0,25674.0,66874.0,66718.0
2,4,39630.0,36001.0,34867.0,17428.0,42243.0,19451.0,43448.0,43205.0
2,5,8996.0,10117.0,8980.0,4838.0,10527.0,5603.0,9326.0,9188.0
2,6,3170.0,1596.0,2929.0,1402.0,2288.0,1339.0,2208.0,2403.0
2,7,1138.0,791.0,1773.0,509.0,994.0,432.0,973.0,1032.0
2,8,747.0,585.0,903.0,429.0,1257.0,484.0,666.0,731.0
3,1,285725.0,339296.0,396208.0,250075.0,348460.0,333952.0,327194.0,327980.0
3,2,96694.0,114703.0,133786.0,84629.0,117780.0,112916.0,110729.0,110778.0
3,3,65287.0,77563.0,90468.0,57215.0,79842.0,76447.0,74809.0,74993.0
3,4,45028.0,53075.0,61657.0,42676.0,56237.0,51591.0,48778.0,49254.0
3,5,11802.0,12034.0,16737.0,12121.0,15878.0,11859.0,10131.0,10602.0
3,6,1964.0,2315.0,2589.0,1991.0,2276.0,2673.0,2003.0,2244.0
3,7,824.0,1206.0,834.0,853.0,856.0,1126.0,1110.0,1230.0
3,8,1294.0,1410.0,1424.0,1344.0,879.0,1568.0,1358.0,1467.0
4,1,223149.0,247674.0,251922.0,207912.0,390716.0,347115.0,289193.0,290762.0
4,2,75217.0,83363.0,85239.0,69717.0,131918.0,116600.0,97917.0,97495.0
4,3,51191.0,57002.0,58071.0,47393.0,89812.0,79232.0,65905.0,66212.0
4,4,35929.0,41710.0,37854.0,35124.0,61062.0,54719.0,44971.0,45238.0
4,5,11965.0,12946.0,8699.0,10286.0,15618.0,15751.0,12887.0,12620.0
4,6,1998.0,2246.0,2054.0,1642.0,3337.0,2647.0,1565.0,1723.0
4,7,1181.0,824.0,708.0,636.0,1743.0,1083.0,877.0,1000.0
4,8,840.0,542.0,280.0,618.0,2169.0,1023.0,703.0,765.0
5,1,285738.0,364158.0,205931.0,204771.0,159130.0,244333.0,172192.0,172645.0
5,2,96005.0,120079.0,69276.0,68508.0,53870.0,82061.0,58427.0,58247.0
5,3,65190.0,81834.0,46867.0,46585.0,37137.0,55828.0,39640.0,39631.0
5,4,44820.0,51934.0,33107.0,32643.0,23574.0,38741.0,25921.0,25539.0
5,5,12834.0,8238.0,10260.0,9507.0,4959.0,10514.0,6177.0,6325.0
5,6,3218.0,2583.0,2532.0,2043.0,2022.0,2843.0,2175.0,2386.0
5,7,1254.0,865.0,1088.0,938.0,738.0,1176.0,920.0,976.0
5,8,1017.0,289.0,552.0,1123.0,447.0,1054.0,583.0,553.0
