A2,A1,A0,B2,B1,B0,Cin,S2,S1,S0,Cout,Energy,Proc_time
0,0,0,0,0,0,0,0,0,0,0,200,1.3
0,0,0,0,0,0,1,0,0,1,0,200,1.3
0,0,0,0,0,1,0,0,0,1,0,200,1.3
0,0,0,0,0,1,1,0,1,0,0,200,1.3
0,0,0,0,1,0,0,0,1,0,0,200,1.3
0,0,0,0,1,0,1,0,1,1,0,200,1.3
0,0,0,0,1,1,0,0,1,1,0,200,1.3
0,0,0,0,1,1,1,1,0,0,0,200,1.3
0,0,0,1,0,0,0,1,0,0,0,200,1.3
0,0,0,1,0,0,1,1,0,1,0,200,1.3
0,0,0,1,0,1,0,1,0,1,0,200,1.3
0,0,0,1,0,1,1,1,1,0,0,200,1.3
0,0,0,1,1,0,0,1,1,0,0,200,1.3
0,0,0,1,1,0,1,1,1,1,0,200,1.3
0,0,0,1,1,1,0,1,1,1,0,200,1.3
0,0,0,1,1,1,1,0,0,0,1,200,1.3
0,0,1,0,0,0,0,0,0,1,0,200,1.3
0,0,1,0,0,0,1,0,1,0,0,200,1.3
0,0,1,0,0,1,0,0,1,0,0,200,1.3
0,0,1,0,0,1,1,0,1,1,0,200,1.3
0,0,1,0,1,0,0,0,1,1,0,200,1.3
0,0,1,0,1,0,1,1,0,0,0,200,1.3
0,0,1,0,1,1,0,1,0,0,0,200,1.3
0,0,1,0,1,1,1,1,0,1,0,200,1.3
0,0,1,1,0,0,0,1,0,1,0,200,1.3
0,0,1,1,0,0,1,1,1,0,0,200,1.3
0,0,1,1,0,1,0,1,1,0,0,200,1.3
0,0,1,1,0,1,1,1,1,1,0,200,1.3
0,0,1,1,1,0,0,1,1,1,0,200,1.3
0,0,1,1,1,0,1,0,0,0,1,200,1.3
0,0,1,1,1,1,0,0,0,0,1,200,1.3
0,0,1,1,1,1,1,0,0,1,1,200,1.3
0,1,0,0,0,0,0,0,1,0,0,200,1.3
0,1,0,0,0,0,1,0,1,1,0,200,1.3
0,1,0,0,0,1,0,0,1,1,0,200,1.3
0,1,0,0,0,1,1,1,0,0,0,200,1.3
0,1,0,0,1,0,0,1,0,0,0,200,1.3
0,1,0,0,1,0,1,1,0,1,0,200,1.3
0,1,0,0,1,1,0,1,0,1,0,200,1.3
0,1,0,0,1,1,1,1,1,0,0,200,1.3
0,1,0,1,0,0,0,1,1,0,0,200,1.3
0,1,0,1,0,0,1,1,1,1,0,200,1.3
0,1,0,1,0,1,0,1,1,1,0,200,1.3
0,1,0,1,0,1,1,0,0,0,1,200,1.3
0,1,0,1,1,0,0,0,0,0,1,200,1.3
0,1,0,1,1,0,1,0,0,1,1,200,1.3
0,1,0,1,1,1,0,0,0,1,1,200,1.3
0,1,0,1,1,1,1,0,1,0,1,200,1.3
0,1,1,0,0,0,0,0,1,1,0,200,1.3
0,1,1,0,0,0,1,1,0,0,0,200,1.3
0,1,1,0,0,1,0,1,0,0,0,200,1.3
0,1,1,0,0,1,1,1,0,1,0,200,1.3
0,1,1,0,1,0,0,1,0,1,0,200,1.3
0,1,1,0,1,0,1,1,1,0,0,200,1.3
0,1,1,0,1,1,0,1,1,0,0,200,1.3
0,1,1,0,1,1,1,1,1,1,0,200,1.3
0,1,1,1,0,0,0,1,1,1,0,200,1.3
0,1,1,1,0,0,1,0,0,0,1,200,1.3
0,1,1,1,0,1,0,0,0,0,1,200,1.3
0,1,1,1,0,1,1,0,0,1,1,200,1.3
0,1,1,1,1,0,0,0,0,1,1,200,1.3
0,1,1,1,1,0,1,0,1,0,1,200,1.3
0,1,1,1,1,1,0,0,1,0,1,200,1.3
0,1,1,1,1,1,1,0,1,1,1,200,1.3
1,0,0,0,0,0,0,1,0,0,0,200,1.3
1,0,0,0,0,0,1,1,0,1,0,200,1.3
1,0,0,0,0,1,0,1,0,1,0,200,1.3
1,0,0,0,0,1,1,1,1,0,0,200,1.3
1,0,0,0,1,0,0,1,1,0,0,200,1.3
1,0,0,0,1,0,1,1,1,1,0,200,1.3
1,0,0,0,1,1,0,1,1,1,0,200,1.3
1,0,0,0,1,1,1,0,0,0,1,200,1.3
1,0,0,1,0,0,0,0,0,0,1,200,1.3
1,0,0,1,0,0,1,0,0,1,1,200,1.3
1,0,0,1,0,1,0,0,0,1,1,200,1.3
1,0,0,1,0,1,1,0,1,0,1,200,1.3
1,0,0,1,1,0,0,0,1,0,1,200,1.3
1,0,0,1,1,0,1,0,1,1,1,200,1.3
1,0,0,1,1,1,0,0,1,1,1,200,1.3
1,0,0,1,1,1,1,1,0,0,1,200,1.3
1,0,1,0,0,0,0,1,0,1,0,200,1.3
1,0,1,0,0,0,1,1,1,0,0,200,1.3
1,0,1,0,0,1,0,1,1,0,0,200,1.3
1,0,1,0,0,1,1,1,1,1,0,200,1.3
1,0,1,0,1,0,0,1,1,1,0,200,1.3
1,0,1,0,1,0,1,0,0,0,1,200,1.3
1,0,1,0,1,1,0,0,0,0,1,200,1.3
1,0,1,0,1,1,1,0,0,1,1,200,1.3
1,0,1,1,0,0,0,0,0,1,1,200,1.3
1,0,1,1,0,0,1,0,1,0,1,200,1.3
1,0,1,1,0,1,0,0,1,0,1,200,1.3
1,0,1,1,0,1,1,0,1,1,1,200,1.3
1,0,1,1,1,0,0,0,1,1,1,200,1.3
1,0,1,1,1,0,1,1,0,0,1,200,1.3
1,0,1,1,1,1,0,1,0,0,1,200,1.3
1,0,1,1,1,1,1,1,0,1,1,200,1.3
1,1,0,0,0,0,0,1,1,0,0,200,1.3
1,1,0,0,0,0,1,1,1,1,0,200,1.3
1,1,0,0,0,1,0,1,1,1,0,200,1.3
1,1,0,0,0,1,1,0,0,0,1,200,1.3
1,1,0,0,1,0,0,0,0,0,1,200,1.3
1,1,0,0,1,0,1,0,0,1,1,200,1.3
1,1,0,0,1,1,0,0,0,1,1,200,1.3
1,1,0,0,1,1,1,0,1,0,1,200,1.3
1,1,0,1,0,0,0,0,1,0,1,200,1.3
1,1,0,1,0,0,1,0,1,1,1,200,1.3
1,1,0,1,0,1,0,0,1,1,1,200,1.3
1,1,0,1,0,1,1,1,0,0,1,200,1.3
1,1,0,1,1,0,0,1,0,0,1,200,1.3
1,1,0,1,1,0,1,1,0,1,1,200,1.3
1,1,0,1,1,1,0,1,0,1,1,200,1.3
1,1,0,1,1,1,1,1,1,0,1,200,1.3
1,1,1,0,0,0,0,1,1,1,0,200,1.3
1,1,1,0,0,0,1,0,0,0,1,200,1.3
1,1,1,0,0,1,0,0,0,0,1,200,1.3
1,1,1,0,0,1,1,0,0,1,1,200,1.3
1,1,1,0,1,0,0,0,0,1,1,200,1.3
1,1,1,0,1,0,1,0,1,0,1,200,1.3
1,1,1,0,1,1,0,0,1,0,1,200,1.3
1,1,1,0,1,1,1,0,1,1,1,200,1.3
1,1,1,1,0,0,0,0,1,1,1,200,1.3
1,1,1,1,0,0,1,1,0,0,1,200,1.3
1,1,1,1,0,1,0,1,0,0,1,200,1.3
1,1,1,1,0,1,1,1,0,1,1,200,1.3
1,1,1,1,1,0,0,1,0,1,1,200,1.3
1,1,1,1,1,0,1,1,1,0,1,200,1.3
1,1,1,1,1,1,0,1,1,0,1,200,1.3
1,1,1,1,1,1,1,1,1,1,1,200,1.3
